candidate_id,doc_path,line_number,anchor,candidate_text,detected_claim_types,detection_rules,doc_class,truth_status,claim_trace_required,candidate_severity,registered_claim_id,registration_status,notes
DOC-CAND-bae88c2f888b,docs/security/security-audit-closeout.md,171,line-171,| Request size limits (1 MiB) | Same as above | HIGH |,api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-eab367da2c88,docs/security/security-audit-closeout.md,176,line-176,| State validation | canpromote/candisable checks | MEDIUM |,data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-2e8ecf1ee542,docs/security/security-audit-closeout.md,177,line-177,"| Bearer token auth | K9BUITOKEN env var, --auth-token flag | MEDIUM |",security|config,security|config,reference,historical,false,high,,ignored_historical,
DOC-CAND-b41fac2ac6f2,docs/security/security-audit-closeout.md,181,line-181,| Control | Implementation | Coverage |,ci_gate,ci_gate,reference,historical,false,medium,,ignored_historical,
DOC-CAND-5b4471e15db4,docs/security/security-audit-closeout.md,183,line-183,"| artifactid (UUIDv7) | newartifactid() | External analysis, drilldowns, proposals, notifications, snapshot types |",data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-5d52729c45c6,docs/security/security-audit-closeout.md,184,line-184,"| Append-only enforcement | writeappendonlyjsonartifact() | External analysis, alertmanager, proposals |",normative|source_of_truth,normative|source_of_truth,reference,historical,false,high,,ignored_historical,
DOC-CAND-ffdb0622814a,docs/security/security-audit-closeout.md,185,line-185,"| Path validation | validaterunid(), safechildpath() | All artifact operations |",data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-bb26841b0746,docs/security/security-audit-closeout.md,189,line-189,| Control | Implementation | Coverage |,ci_gate,ci_gate,reference,historical,false,medium,,ignored_historical,
DOC-CAND-e8f3559219a2,docs/security/security-audit-closeout.md,191,line-191,| Localhost-default binding | --host defaults to 127.0.0.1 | CLI |,config,config,reference,historical,false,low,,ignored_historical,
DOC-CAND-b55ca045b1f2,docs/security/security-audit-closeout.md,193,line-193,| Bearer token validation | validatebearertoken() | All mutation endpoints |,security,security,reference,historical,false,high,,ignored_historical,
DOC-CAND-607d3e78e55b,docs/security/security-audit-closeout.md,194,line-194,"| Helm localhost default | HEALTHUIHOST: ""127.0.0.1"" | Helm chart |",config,config,reference,historical,false,low,,ignored_historical,
DOC-CAND-6180ea50e3cf,docs/security/security-audit-closeout.md,220,line-220,5.2 Verification Status by Audit Area,data_model|ci_gate,data_model|ci_gate,reference,historical,false,medium,,ignored_historical,
DOC-CAND-9d7cf85800a0,docs/security/security-audit-closeout.md,222,line-222,| Area | Verification Status | Notes |,data_model|ci_gate,data_model|ci_gate,reference,historical,false,medium,,ignored_historical,
DOC-CAND-ca5be1d71461,docs/security/security-audit-closeout.md,227,line-227,| Artifact Integrity | ✅ Complete | REM-AI-02 verified |,data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-1eb04c820383,docs/security/security-audit-closeout.md,228,line-228,| RBAC Documentation | ✅ N/A | Documentation only |,normative|security,normative|security,reference,historical,false,high,,ignored_historical,
DOC-CAND-055cc0986bd7,docs/security/security-audit-closeout.md,246,line-246,| ID | Risk | Status | Mitigation | Next Action |,data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-3f84be135e0d,docs/security/security-audit-closeout.md,249,line-249,| RISK-02 | kubectl command injection via queue manipulation | ✅ Mitigated | Mutation keywords blocked; approval required | Monitor for bypass attempts |,normative|security,normative|security,reference,historical,false,high,,ignored_historical,
DOC-CAND-a9388a86fab9,docs/security/security-audit-closeout.md,253,line-253,| ID | Risk | Status | Mitigation | Next Action |,data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-156fc375e51c,docs/security/security-audit-closeout.md,255,line-255,| RISK-03 | Prompt injection via malicious cluster data | ⚠️ Partial | Basic sanitization; boundaries added | Add structured injection detection (EPIC-AU-05) |,security,security,reference,historical,false,high,,ignored_historical,
DOC-CAND-b2c8af55aa63,docs/security/security-audit-closeout.md,256,line-256,| RISK-04 | kubectl/helm binary tampering during build | ⚠️ Partial | SHA256 verification planned | Add binary checksum verification (EPIC-AU-06) |,ci_gate,ci_gate,reference,historical,false,medium,,ignored_historical,
