candidate_id,doc_path,line_number,anchor,candidate_text,detected_claim_types,detection_rules,doc_class,truth_status,claim_trace_required,candidate_severity,registered_claim_id,registration_status,notes
DOC-CAND-cb46b3bbe5b2,docs/security/threat-model.md,231,line-231,| Kubernetes Cluster API | External system | Read/write based on RBAC | Semi-trusted |,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-d3eb482e309d,docs/security/threat-model.md,233,line-233,| Docker Build Process | CI/CD supply chain | Builds container image | Trust boundary |,ci_gate,ci_gate,architecture,current,true,medium,,unregistered,
DOC-CAND-db5e8a57f78e,docs/security/threat-model.md,235,line-235,| Attacker (LLM Injection) | Prompt injection via cluster data | LLM prompt manipulation | Threat vector |,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-f8d579396d02,docs/security/threat-model.md,281,line-281,| From | To | Data Crossing | Trust Level | Controls Required |,normative,normative,architecture,current,true,medium,,unregistered,
DOC-CAND-2a0d3a62a44d,docs/security/threat-model.md,285,line-285,| k9b Backend | Mattermost | Alert payload | TRUSTED | Sanitized payload; webhook URL in env |,api_contract,api_contract,architecture,current,true,medium,,unregistered,
DOC-CAND-54ab19dd2999,docs/security/threat-model.md,286,line-286,| Operator Browser | UI Server | HTTP requests | TRUSTED (localhost) | Localhost-only binding |,normative,normative,architecture,current,true,medium,,unregistered,
DOC-CAND-4248cb6943c4,docs/security/threat-model.md,287,line-287,| k9b Backend | Artifact Store | JSON/ZIP files | TRUSTED | Path validation; trusted root |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-d3a70c0f08fa,docs/security/threat-model.md,296,line-296,DF-1: Cluster Snapshot Collection,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-8ea2ced720bb,docs/security/threat-model.md,316,line-316,- Payload sanitization (sanitizer.py),api_contract,api_contract,architecture,current,true,medium,,unregistered,
DOC-CAND-08f3d94161c4,docs/security/threat-model.md,317,line-317,- No kubeconfig persisted to disk,config,config,architecture,current,true,low,,unregistered,
DOC-CAND-a005cf84d658,docs/security/threat-model.md,341,line-341,- Schema validation on response,api_contract|data_model,api_contract|data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-eb11dec97576,docs/security/threat-model.md,342,line-342,"- LLM output treated as ""advisory only""",normative,normative,architecture,current,true,medium,,unregistered,
DOC-CAND-9d682a3755da,docs/security/threat-model.md,344,line-344,Risk: LLM injection via poisoned cluster data,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-185a89f4335b,docs/security/threat-model.md,360,line-360,- No cluster mutation on feedback,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-5a4aa7846f13,docs/security/threat-model.md,382,line-382,- No autonomous cluster mutation,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-c516debb1845,docs/security/threat-model.md,384,line-384,Risk: Command injection via queue manipulation,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-4fda6e0fbdd9,docs/security/threat-model.md,390,line-390,| DF-1 | Cluster credentials | Snapshot | Cluster state exposed |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-09aac78c9dd1,docs/security/threat-model.md,391,line-391,| DF-2 | Snapshot data | LLM assessment | Cluster state to external |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-0977481fffba,docs/security/threat-model.md,393,line-393,| DF-4 | Execution history | Cluster state change | Execution commands |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-c8b351aa1560,docs/security/threat-model.md,401,line-401,| Operation | Privilege Level | Authorization | Audit Required |,normative,normative,architecture,current,true,medium,,unregistered,
DOC-CAND-7ee9eb5c5c0c,docs/security/threat-model.md,403,line-403,| kubectl/helm subprocess execution | CLUSTER WRITE | Operator approval | Yes |,config,config,architecture,current,true,low,,unregistered,
DOC-CAND-18b122a5ab0d,docs/security/threat-model.md,406,line-406,| File artifact creation | FILESYSTEM | Process ownership | Yes |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-56e6e4ab4f5d,docs/security/threat-model.md,414,line-414,| kubectl exec | CRITICAL | Direct cluster manipulation | Operator approval only; command validation |,normative|config,normative|config,architecture,current,true,medium,,unregistered,
DOC-CAND-64af7c8b939e,docs/security/threat-model.md,415,line-415,| helm upgrade | CRITICAL | Cluster state change | Operator approval only; dry-run option |,normative|config|data_model,normative|config|data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-c03a6c397da0,docs/security/threat-model.md,416,line-416,| LLM prompt injection | HIGH | External data in prompts | Sanitization; credential redaction |,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-b4e903a4aa7c,docs/security/threat-model.md,418,line-418,| Subprocess command injection | CRITICAL | Arbitrary command execution | Hardcoded commands only; argument validation |,normative|security,normative|security,architecture,current,true,high,,unregistered,
DOC-CAND-dda34aa4f0f8,docs/security/threat-model.md,428,line-428,| UI HTTP Server | Network | localhost:8080 | MEDIUM (localhost only) |,normative,normative,architecture,current,true,medium,,unregistered,
DOC-CAND-40685d8735e0,docs/security/threat-model.md,429,line-429,| Next-check execution API | API | POST /api/next-check-execution | HIGH |,api_contract,api_contract,architecture,current,true,medium,,unregistered,
DOC-CAND-0e29bbdc73c0,docs/security/threat-model.md,430,line-430,| Proposal approval API | API | POST /api/next-check-approval | HIGH |,api_contract,api_contract,architecture,current,true,medium,,unregistered,
DOC-CAND-00a79586faf9,docs/security/threat-model.md,431,line-431,| Deterministic promotion API | API | POST /api/deterministic-promotion | MEDIUM |,api_contract,api_contract,architecture,current,true,medium,,unregistered,
DOC-CAND-0bfe54b1e9de,docs/security/threat-model.md,432,line-432,| Alertmanager feedback API | API | POST /api/alertmanager-relevance-feedback | MEDIUM |,api_contract,api_contract,architecture,current,true,medium,,unregistered,
DOC-CAND-c1c90ebd19ab,docs/security/threat-model.md,433,line-433,| Alertmanager source action API | API | POST /api/runs/{runid}/alertmanager-sources/{sourceid}/action | HIGH |,api_contract,api_contract,architecture,current,true,medium,,unregistered,
DOC-CAND-3314f4d79422,docs/security/threat-model.md,435,line-435,| Kubernetes subprocess | Command Injection | Cluster interaction | CRITICAL |,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-837f67e68213,docs/security/threat-model.md,436,line-436,| LLM prompt construction | Injection | Cluster data → prompts | HIGH |,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-406521266cd8,docs/security/threat-model.md,438,line-438,| Docker build | Supply Chain | CI/CD pipeline | HIGH |,ci_gate,ci_gate,architecture,current,true,medium,,unregistered,
DOC-CAND-9bab9e7d35cd,docs/security/threat-model.md,445,line-445,| runid (path parameter) | ✅ validaterunid() | N/A (validation only) | Prevents path traversal |,normative,normative,architecture,current,true,medium,,unregistered,
DOC-CAND-e9393b206cc7,docs/security/threat-model.md,447,line-447,| runid (request body) | ✅ validaterunid() | N/A | Via servernextchecks.py |,api_contract,api_contract,architecture,current,true,medium,,unregistered,
DOC-CAND-4ae901908971,docs/security/threat-model.md,449,line-449,| Cluster context names | ⚠️ KUBECONFIG | None | Loaded from local config |,config,config,architecture,current,true,low,,unregistered,
DOC-CAND-ab700f24a55a,docs/security/threat-model.md,450,line-450,| Snapshot content | ❌ NO VALIDATION | ⚠️ Partial via sanitizer | Cluster data enters prompts |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-b08b7ff69f81,docs/security/threat-model.md,451,line-451,| LLM responses | ⚠️ Schema validation | N/A | Untrusted by design |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-260e2ce4022e,docs/security/threat-model.md,459,line-459,| ID | Threat | Category | Affected Component | Severity | Status |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-d3931f1e96b3,docs/security/threat-model.md,461,line-461,| S-01 | SQL/Path injection via runid | Spoofing | All API endpoints | HIGH | ✅ Mitigated via validaterunid() |,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-27711de2ec47,docs/security/threat-model.md,462,line-462,| S-02 | Credential theft via kubeconfig | Spoofing | kubectl/helm subprocess | CRITICAL | ✅ Env var only; .gitignore |,normative|config,normative|config,architecture,current,true,medium,,unregistered,
DOC-CAND-fc44299eafba,docs/security/threat-model.md,463,line-463,| S-03 | LLM prompt injection | Spoofing | LLM provider adapters | HIGH | ⚠️ Partial via sanitizer.py |,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-cf92a4ce8750,docs/security/threat-model.md,464,line-464,| T-01 | Unauthorized cluster mutations | Tampering | kubectl/helm subprocess | CRITICAL | ✅ Operator approval required |,normative|config,normative|config,architecture,current,true,medium,,unregistered,
DOC-CAND-6606d12daa4a,docs/security/threat-model.md,465,line-465,| T-02 | Artifact tampering | Tampering | Artifact store | MEDIUM | ⚠️ No integrity verification |,data_model|ci_gate,data_model|ci_gate,architecture,current,true,medium,,unregistered,
DOC-CAND-d503bcd2fc59,docs/security/threat-model.md,466,line-466,| T-03 | Proposal manipulation | Tampering | Proposal lifecycle | HIGH | ✅ Explicit approval workflow |,data_model|ci_gate,data_model|ci_gate,architecture,current,true,medium,,unregistered,
DOC-CAND-2e58247d8839,docs/security/threat-model.md,469,line-469,| R-02 | Cluster state manipulation without audit | Repudiation | All cluster mutations | HIGH | ⚠️ Execution history exists |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-df94e3a5d1bc,docs/security/threat-model.md,472,line-472,| I-03 | Credential in artifact filenames | Information Disclosure | Artifact naming | LOW | ✅ No credentials in filenames |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-3d0a22f64910,docs/security/threat-model.md,474,line-474,| D-02 | Subprocess timeout/exhaustion | Denial of Service | kubectl/helm calls | MEDIUM | ✅ Timeouts defined |,performance,performance,architecture,current,true,low,,unregistered,
DOC-CAND-83cfcac9d185,docs/security/threat-model.md,476,line-476,| D-04 | Unbounded file glob operations | Denial of Service | Artifact scanning | MEDIUM | ⚠️ No glob depth limits |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-be4584836b39,docs/security/threat-model.md,477,line-477,| E-01 | Privilege escalation via kubectl exec | Elevation of Privilege | kubectl subprocess | CRITICAL | ✅ Never auto-exec; operator approval |,normative|config,normative|config,architecture,current,true,medium,,unregistered,
DOC-CAND-9e1160e33488,docs/security/threat-model.md,478,line-478,| E-02 | Elevation via malicious LLM output | Elevation of Privilege | LLM integration | HIGH | ✅ LLM output is advisory only |,normative,normative,architecture,current,true,medium,,unregistered,
DOC-CAND-ef7943f54d7c,docs/security/threat-model.md,500,line-500,| LLM01 | Prompt Injection | Malicious cluster data in prompts | HIGH | ⚠️ Partial sanitization |,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-1745831bf83d,docs/security/threat-model.md,501,line-501,| LLM02 | Insecure Output Handling | Unvalidated LLM response parsing | MEDIUM | ✅ Schema validation |,api_contract|data_model,api_contract|data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-587e16b38cee,docs/security/threat-model.md,504,line-504,| LLM05 | Supply Chain Vulnerabilities | Compromised model/weights | HIGH | ⚠️ Local model only (partial) |,normative,normative,architecture,current,true,medium,,unregistered,
DOC-CAND-26f4a9d927cf,docs/security/threat-model.md,507,line-507,| LLM08 | Excessive Agency | LLM-driven autonomous actions | MEDIUM | ✅ Approval workflow |,ci_gate,ci_gate,architecture,current,true,medium,,unregistered,
DOC-CAND-eace73164b87,docs/security/threat-model.md,508,line-508,"| LLM09 | Overreliance | Unvalidated LLM recommendations | MEDIUM | ✅ ""Advisory only"" policy |",normative,normative,architecture,current,true,medium,,unregistered,
DOC-CAND-e0e155313f27,docs/security/threat-model.md,517,line-517,"Current State: ⚠️ sanitizestring() handles basic patterns, but recursive/nested injection not validated",security|data_model,security|data_model,architecture,current,true,high,,unregistered,
DOC-CAND-7ec840dd8f4e,docs/security/threat-model.md,519,line-519,- Add structured prompt construction with explicit field boundaries,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-0d1a688b4c9d,docs/security/threat-model.md,520,line-520,- Validate cluster data schema before prompt inclusion,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-e6847357dacf,docs/security/threat-model.md,521,line-521,- Add injection detection patterns,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-c546f09ab14f,docs/security/threat-model.md,527,line-527,"Current State: ⚠️ Basic sanitization in sanitizer.py, but namespace/cluster names not systematically redacted",data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-d4be9df6da28,docs/security/threat-model.md,539,line-539,| ID | Control | k9b Implementation | Status |,data_model,data_model,architecture,current,true,medium,,unregistered,
DOC-CAND-d30a5cb94681,docs/security/threat-model.md,541,line-541,| 1.1.1 | RBAC for kubelet | N/A (operator responsibility) | OUT OF SCOPE |,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-388987f48846,docs/security/threat-model.md,542,line-542,| 5.1.1 | RBAC for cluster access | ⚠️ Operator responsibility | Operator config |,security,security,architecture,current,true,high,,unregistered,
DOC-CAND-1200e59c109b,docs/security/threat-model.md,543,line-543,| 5.1.5 | Least privilege for kubectl | ⚠️ Depends on kubeconfig | Operator config |,config,config,architecture,current,true,low,,unregistered,
DOC-CAND-2dc99ee01703,docs/security/threat-model.md,545,line-545,| 5.4.1 | secrets management | ✅ Environment variables only | Compliant |,normative,normative,architecture,current,true,medium,,unregistered,
DOC-CAND-134391784ea4,docs/security/threat-model.md,546,line-546,| 6.1.1 | Unauthorized RBAC | ⚠️ Depends on kubeconfig | Operator config |,security|config,security|config,architecture,current,true,high,,unregistered,
