candidate_id,doc_path,line_number,anchor,candidate_text,detected_claim_types,detection_rules,doc_class,truth_status,claim_trace_required,candidate_severity,registered_claim_id,registration_status,notes
DOC-CAND-fe89501218d9,docs/security/llm-anonymization-design.md,61,line-61,2.1 Must Always Be Anonymized (External LLM Providers),normative,normative,design_proposal,current,true,medium,,unregistered,
DOC-CAND-78b47a44d8f1,docs/security/llm-anonymization-design.md,63,line-63,"These fields MUST be anonymized before sending to any external LLM provider (OpenAI-compatible, etc.):",normative,normative,design_proposal,current,true,medium,,unregistered,
DOC-CAND-c24c0e775296,docs/security/llm-anonymization-design.md,65,line-65,| Field Category | Examples | Rationale |,data_model,data_model,design_proposal,current,true,medium,,unregistered,
DOC-CAND-81b461a9a2a5,docs/security/llm-anonymization-design.md,68,line-68,"| Namespace names | default, production, kube-system | Reveals organizational structure |",config,config,design_proposal,current,true,low,,unregistered,
DOC-CAND-ef6b21fba228,docs/security/llm-anonymization-design.md,78,line-78,2.2 May Remain Visible (Local llama.cpp Only),normative,normative,design_proposal,current,true,medium,,unregistered,
DOC-CAND-b07dc70c353f,docs/security/llm-anonymization-design.md,82,line-82,| Field | Rationale | Risk Justification |,data_model,data_model,design_proposal,current,true,medium,,unregistered,
DOC-CAND-54532fb458ba,docs/security/llm-anonymization-design.md,84,line-84,| Cluster identifiers | Local processing only | Data never leaves operator workstation |,normative,normative,design_proposal,current,true,medium,,unregistered,
DOC-CAND-0cfce738646d,docs/security/llm-anonymization-design.md,85,line-85,| Namespace names | Local processing only | Data never leaves operator workstation |,normative,normative,design_proposal,current,true,medium,,unregistered,
DOC-CAND-a9cf0cac6b76,docs/security/llm-anonymization-design.md,86,line-86,| All other infrastructure names | Local processing only | Data never leaves operator workstation |,normative,normative,design_proposal,current,true,medium,,unregistered,
DOC-CAND-a3f9eec5eb1a,docs/security/llm-anonymization-design.md,90,line-90,2.3 Must Never Leave the Process (Even After Anonymization),normative,normative,design_proposal,current,true,medium,,unregistered,
