candidate_id,disposition,claim_id,covered_by_claim_id,reason_code,reviewed_at,reviewer_notes
DOC-CAND-cda93cad4910,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: README.md
DOC-CAND-e86d20d6c723,stale,,,stale_doc,2026-06-19,From stale doc: docs/agent-docs-audit.md
DOC-CAND-c3d75e842d9e,stale,,,stale_doc,2026-06-19,From stale doc: docs/agent-docs-audit.md
DOC-CAND-46d15f6fb502,stale,,,stale_doc,2026-06-19,From stale doc: docs/artifact-immutability-audit.md
DOC-CAND-954713332b09,stale,,,stale_doc,2026-06-19,From stale doc: docs/artifact-immutability-audit.md
DOC-CAND-00ef9a9e8b5b,stale,,,stale_doc,2026-06-19,From stale doc: docs/artifact-immutability-audit.md
DOC-CAND-41879a3d2f47,stale,,,stale_doc,2026-06-19,From stale doc: docs/artifact-immutability-audit.md
DOC-CAND-9a2eac385af3,registered_existing_claim,DOC-CLAIM-0026,,already_registered,2026-06-19,Already registered to DOC-CLAIM-0026
DOC-CAND-17a0125e9adc,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/auth.md
DOC-CAND-bf11f4ed99c6,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-demo-readiness-checklist.md
DOC-CAND-ae21642e5ad0,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-release-notes.md
DOC-CAND-46caf1956389,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-release-notes.md
DOC-CAND-67ccc5595c58,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-release-notes.md
DOC-CAND-d75058f6160c,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-stakeholder-demo-script.md
DOC-CAND-7fe043a428f5,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-stakeholder-demo-script.md
DOC-CAND-a5df0b739c9d,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-stakeholder-demo-script.md
DOC-CAND-d062a44b7a35,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-stakeholder-demo-script.md
DOC-CAND-76c6a14b25f7,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-stakeholder-demo-script.md
DOC-CAND-7fa7812e5ede,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/ci-gate-drift.md
DOC-CAND-a53eca11629f,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model/incident-report-quality.md
DOC-CAND-92aaef7582df,registered_existing_claim,DOC-CLAIM-0048,,already_registered,2026-06-19,Already registered to DOC-CLAIM-0048
DOC-CAND-bdd31004ce7e,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model/next-check-mapping.md
DOC-CAND-9d951692849f,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model/next-check-mapping.md
DOC-CAND-04bca14c03bd,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model/review-packets.md
DOC-CAND-294043fdfb9a,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model/review-packets.md
DOC-CAND-37834fe8d410,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/doctrine/beta-real-incident-validation.md
DOC-CAND-3733f960d367,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/doctrine/beta-real-incident-validation.md
DOC-CAND-4cb1c9feb7f7,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/doctrine/blockstor-derived-rules.md
